cell_id,cell,cell_type,batch,cluster_id,batch_id,n_genes
cell_36,pDC_P7_S21,pDC,Batch1,0,0,6880
cell_37,pDC_P7_S22,pDC,Batch1,0,0,6329
cell_38,pDC_P7_S23,pDC,Batch1,0,0,6110
cell_39,pDC_P7_S24,pDC,Batch1,0,0,6965
cell_40,pDC_P7_S2,pDC,Batch1,0,0,6372
cell_41,pDC_P7_S3,pDC,Batch1,0,0,6526
cell_42,pDC_P7_S4,pDC,Batch1,0,0,6867
cell_43,pDC_P7_S5,pDC,Batch1,0,0,8342
cell_44,pDC_P7_S6,pDC,Batch1,0,0,6661
cell_45,pDC_P7_S7,pDC,Batch1,0,0,6056
cell_46,pDC_P7_S8,pDC,Batch1,0,0,6717
cell_47,pDC_P7_S9,pDC,Batch1,0,0,7148
cell_48,pDC_P8_S25,pDC,Batch1,0,0,6473
cell_49,pDC_P8_S26,pDC,Batch1,0,0,6065
cell_50,pDC_P8_S27,pDC,Batch1,0,0,5829
cell_51,pDC_P8_S28,pDC,Batch1,0,0,6127
cell_53,pDC_P8_S30,pDC,Batch1,0,0,5449
cell_54,pDC_P8_S31,pDC,Batch1,0,0,6107
cell_55,pDC_P8_S32,pDC,Batch1,0,0,5667
cell_56,pDC_P8_S33,pDC,Batch1,0,0,4585
cell_57,pDC_P8_S34,pDC,Batch1,0,0,5498
cell_58,pDC_P8_S35,pDC,Batch1,0,0,5194
cell_59,pDC_P8_S36,pDC,Batch1,0,0,4617
cell_60,pDC_P8_S37,pDC,Batch1,0,0,5672
cell_61,pDC_P8_S38,pDC,Batch1,0,0,5596
cell_62,pDC_P8_S39,pDC,Batch1,0,0,5283
cell_63,pDC_P8_S40,pDC,Batch1,0,0,5562
cell_65,pDC_P8_S42,pDC,Batch1,0,0,5565
cell_66,pDC_P8_S43,pDC,Batch1,0,0,1455
cell_67,pDC_P8_S44,pDC,Batch1,0,0,4499
cell_68,pDC_P8_S45,pDC,Batch1,0,0,3890
cell_69,pDC_P8_S46,pDC,Batch1,0,0,5097
cell_70,pDC_P8_S47,pDC,Batch1,0,0,4657
cell_71,pDC_P8_S48,pDC,Batch1,0,0,4822
cell_72,pDC_P9_S49,pDC,Batch1,0,0,6506
cell_73,pDC_P9_S50,pDC,Batch1,0,0,6609
cell_74,pDC_P9_S51,pDC,Batch1,0,0,6022
cell_75,pDC_P9_S52,pDC,Batch1,0,0,6283
cell_76,pDC_P9_S53,pDC,Batch1,0,0,5483
cell_77,pDC_P9_S54,pDC,Batch1,0,0,5880
cell_78,pDC_P9_S55,pDC,Batch1,0,0,5292
cell_79,pDC_P9_S56,pDC,Batch1,0,0,5132
cell_80,pDC_P9_S57,pDC,Batch1,0,0,5553
cell_81,pDC_P9_S58,pDC,Batch1,0,0,5304
cell_82,pDC_P9_S59,pDC,Batch1,0,0,6287
cell_83,pDC_P9_S60,pDC,Batch1,0,0,5911
cell_84,pDC_P9_S61,pDC,Batch1,0,0,6427
cell_85,pDC_P9_S62,pDC,Batch1,0,0,4359
cell_86,pDC_P9_S63,pDC,Batch1,0,0,6247
cell_87,pDC_P9_S64,pDC,Batch1,0,0,4988
cell_88,pDC_P9_S65,pDC,Batch1,0,0,6289
cell_89,pDC_P9_S66,pDC,Batch1,0,0,5910
cell_90,pDC_P9_S67,pDC,Batch1,0,0,5941
cell_91,pDC_P9_S68,pDC,Batch1,0,0,5819
cell_92,pDC_P9_S69,pDC,Batch1,0,0,5644
cell_93,pDC_P9_S70,pDC,Batch1,0,0,5215
cell_94,pDC_P9_S71,pDC,Batch1,0,0,5475
cell_95,pDC_P9_S72,pDC,Batch1,0,0,5943
cell_96,DoubleNeg_P10_S73,DoubleNeg,Batch1,1,0,6036
cell_97,DoubleNeg_P10_S74,DoubleNeg,Batch1,1,0,6308
cell_98,DoubleNeg_P10_S75,DoubleNeg,Batch1,1,0,6330
cell_99,DoubleNeg_P10_S76,DoubleNeg,Batch1,1,0,6137
cell_100,DoubleNeg_P10_S77,DoubleNeg,Batch1,1,0,6680
cell_101,DoubleNeg_P10_S78,DoubleNeg,Batch1,1,0,5466
cell_102,DoubleNeg_P10_S79,DoubleNeg,Batch1,1,0,5779
cell_103,DoubleNeg_P10_S80,DoubleNeg,Batch1,1,0,6875
cell_104,DoubleNeg_P10_S81,DoubleNeg,Batch1,1,0,6653
cell_105,DoubleNeg_P10_S82,DoubleNeg,Batch1,1,0,6775
cell_106,DoubleNeg_P10_S83,DoubleNeg,Batch1,1,0,6578
cell_107,DoubleNeg_P10_S84,DoubleNeg,Batch1,1,0,7012
cell_108,DoubleNeg_P10_S85,DoubleNeg,Batch1,1,0,5298
cell_109,DoubleNeg_P10_S86,DoubleNeg,Batch1,1,0,6013
cell_110,DoubleNeg_P10_S87,DoubleNeg,Batch1,1,0,6396
cell_111,DoubleNeg_P10_S88,DoubleNeg,Batch1,1,0,6121
cell_112,DoubleNeg_P10_S89,DoubleNeg,Batch1,1,0,5886
cell_113,DoubleNeg_P10_S90,DoubleNeg,Batch1,1,0,4457
cell_114,DoubleNeg_P10_S91,DoubleNeg,Batch1,1,0,4880
cell_115,DoubleNeg_P10_S92,DoubleNeg,Batch1,1,0,5134
cell_116,DoubleNeg_P10_S93,DoubleNeg,Batch1,1,0,6147
cell_117,DoubleNeg_P10_S94,DoubleNeg,Batch1,1,0,6340
cell_118,DoubleNeg_P10_S95,DoubleNeg,Batch1,1,0,5920
cell_119,DoubleNeg_P10_S96,DoubleNeg,Batch1,1,0,5486
cell_120,DoubleNeg_P7_S10,DoubleNeg,Batch1,1,0,6560
cell_121,DoubleNeg_P7_S11,DoubleNeg,Batch1,1,0,7006
cell_122,DoubleNeg_P7_S12,DoubleNeg,Batch1,1,0,7085
cell_123,DoubleNeg_P7_S13,DoubleNeg,Batch1,1,0,5808
cell_124,DoubleNeg_P7_S14,DoubleNeg,Batch1,1,0,7620
cell_125,DoubleNeg_P7_S15,DoubleNeg,Batch1,1,0,6689
cell_126,DoubleNeg_P7_S16,DoubleNeg,Batch1,1,0,6433
cell_127,DoubleNeg_P7_S17,DoubleNeg,Batch1,1,0,7783
cell_128,DoubleNeg_P7_S18,DoubleNeg,Batch1,1,0,6705
cell_129,DoubleNeg_P7_S19,DoubleNeg,Batch1,1,0,6477
cell_130,DoubleNeg_P7_S1,DoubleNeg,Batch1,1,0,5026
cell_131,DoubleNeg_P7_S20,DoubleNeg,Batch1,1,0,6475
cell_132,DoubleNeg_P7_S21,DoubleNeg,Batch1,1,0,6916
cell_133,DoubleNeg_P7_S22,DoubleNeg,Batch1,1,0,7908
cell_134,DoubleNeg_P7_S23,DoubleNeg,Batch1,1,0,5921
cell_135,DoubleNeg_P7_S24,DoubleNeg,Batch1,1,0,6498
cell_136,DoubleNeg_P7_S2,DoubleNeg,Batch1,1,0,6756
cell_137,DoubleNeg_P7_S3,DoubleNeg,Batch1,1,0,6786
cell_138,DoubleNeg_P7_S4,DoubleNeg,Batch1,1,0,7157
cell_139,DoubleNeg_P7_S5,DoubleNeg,Batch1,1,0,7891
cell_140,DoubleNeg_P7_S6,DoubleNeg,Batch1,1,0,6708
cell_141,DoubleNeg_P7_S7,DoubleNeg,Batch1,1,0,6359
cell_142,DoubleNeg_P7_S8,DoubleNeg,Batch1,1,0,6323
cell_143,DoubleNeg_P7_S9,DoubleNeg,Batch1,1,0,7072
cell_144,DoubleNeg_P8_S25,DoubleNeg,Batch1,1,0,5681
cell_145,DoubleNeg_P8_S26,DoubleNeg,Batch1,1,0,6682
cell_146,DoubleNeg_P8_S27,DoubleNeg,Batch1,1,0,5728
cell_147,DoubleNeg_P8_S28,DoubleNeg,Batch1,1,0,5090
cell_149,DoubleNeg_P8_S30,DoubleNeg,Batch1,1,0,4791
cell_150,DoubleNeg_P8_S31,DoubleNeg,Batch1,1,0,4699
cell_151,DoubleNeg_P8_S32,DoubleNeg,Batch1,1,0,6041
cell_152,DoubleNeg_P8_S33,DoubleNeg,Batch1,1,0,4540
cell_153,DoubleNeg_P8_S34,DoubleNeg,Batch1,1,0,4707
cell_154,DoubleNeg_P8_S35,DoubleNeg,Batch1,1,0,4573
cell_155,DoubleNeg_P8_S36,DoubleNeg,Batch1,1,0,6163
cell_156,DoubleNeg_P8_S37,DoubleNeg,Batch1,1,0,6372
cell_157,DoubleNeg_P8_S38,DoubleNeg,Batch1,1,0,6548
cell_158,DoubleNeg_P8_S39,DoubleNeg,Batch1,1,0,4390
cell_159,DoubleNeg_P8_S40,DoubleNeg,Batch1,1,0,5581
cell_161,DoubleNeg_P8_S42,DoubleNeg,Batch1,1,0,4497
cell_162,DoubleNeg_P8_S43,DoubleNeg,Batch1,1,0,6108
cell_163,DoubleNeg_P8_S44,DoubleNeg,Batch1,1,0,4988
cell_164,DoubleNeg_P8_S45,DoubleNeg,Batch1,1,0,5820
cell_165,DoubleNeg_P8_S46,DoubleNeg,Batch1,1,0,5377
cell_166,DoubleNeg_P8_S47,DoubleNeg,Batch1,1,0,5693
cell_167,DoubleNeg_P8_S48,DoubleNeg,Batch1,1,0,6013
cell_168,DoubleNeg_P9_S49,DoubleNeg,Batch1,1,0,5478
cell_169,DoubleNeg_P9_S50,DoubleNeg,Batch1,1,0,5205
cell_170,DoubleNeg_P9_S51,DoubleNeg,Batch1,1,0,5764
cell_171,DoubleNeg_P9_S52,DoubleNeg,Batch1,1,0,4721
cell_172,DoubleNeg_P9_S53,DoubleNeg,Batch1,1,0,800
cell_173,DoubleNeg_P9_S54,DoubleNeg,Batch1,1,0,4449
cell_174,DoubleNeg_P9_S55,DoubleNeg,Batch1,1,0,6189
cell_175,DoubleNeg_P9_S56,DoubleNeg,Batch1,1,0,5536
cell_176,DoubleNeg_P9_S57,DoubleNeg,Batch1,1,0,4576
cell_177,DoubleNeg_P9_S58,DoubleNeg,Batch1,1,0,4953
cell_178,DoubleNeg_P9_S59,DoubleNeg,Batch1,1,0,6367
cell_179,DoubleNeg_P9_S60,DoubleNeg,Batch1,1,0,5291
cell_180,DoubleNeg_P9_S61,DoubleNeg,Batch1,1,0,5166
cell_181,DoubleNeg_P9_S62,DoubleNeg,Batch1,1,0,654
cell_182,DoubleNeg_P9_S63,DoubleNeg,Batch1,1,0,5460
cell_183,DoubleNeg_P9_S64,DoubleNeg,Batch1,1,0,4564
cell_184,DoubleNeg_P9_S65,DoubleNeg,Batch1,1,0,4275
cell_185,DoubleNeg_P9_S66,DoubleNeg,Batch1,1,0,4986
cell_186,DoubleNeg_P9_S67,DoubleNeg,Batch1,1,0,5034
cell_187,DoubleNeg_P9_S68,DoubleNeg,Batch1,1,0,5639
cell_188,DoubleNeg_P9_S69,DoubleNeg,Batch1,1,0,4513
cell_189,DoubleNeg_P9_S70,DoubleNeg,Batch1,1,0,4535
cell_190,DoubleNeg_P9_S71,DoubleNeg,Batch1,1,0,5269
cell_191,DoubleNeg_P9_S72,DoubleNeg,Batch1,1,0,4733
cell_192,CD141_P10_S73,CD141,Batch1,2,0,5803
cell_193,CD141_P10_S74,CD141,Batch1,2,0,4772
cell_194,CD141_P10_S75,CD141,Batch1,2,0,5891
cell_195,CD141_P10_S76,CD141,Batch1,2,0,4176
cell_196,CD141_P10_S77,CD141,Batch1,2,0,6126
cell_197,CD141_P10_S78,CD141,Batch1,2,0,6734
cell_198,CD141_P10_S79,CD141,Batch1,2,0,6330
cell_199,CD141_P10_S80,CD141,Batch1,2,0,6886
cell_200,CD141_P10_S81,CD141,Batch1,2,0,6673
cell_201,CD141_P10_S82,CD141,Batch1,2,0,6419
cell_202,CD141_P10_S83,CD141,Batch1,2,0,4165
cell_203,CD141_P10_S84,CD141,Batch1,2,0,5975
cell_204,CD141_P10_S85,CD141,Batch1,2,0,6189
cell_205,CD141_P10_S86,CD141,Batch1,2,0,5046
cell_206,CD141_P10_S87,CD141,Batch1,2,0,5697
cell_207,CD141_P10_S88,CD141,Batch1,2,0,6239
cell_208,CD141_P10_S89,CD141,Batch1,2,0,6713
cell_209,CD141_P10_S90,CD141,Batch1,2,0,7115
cell_210,CD141_P10_S91,CD141,Batch1,2,0,6732
cell_211,CD141_P10_S92,CD141,Batch1,2,0,6909
cell_212,CD141_P10_S93,CD141,Batch1,2,0,6155
cell_213,CD141_P10_S94,CD141,Batch1,2,0,6647
cell_214,CD141_P10_S95,CD141,Batch1,2,0,7230
cell_215,CD141_P10_S96,CD141,Batch1,2,0,6380
cell_216,CD141_P7_S10,CD141,Batch1,2,0,6438
cell_217,CD141_P7_S11,CD141,Batch1,2,0,5597
cell_218,CD141_P7_S12,CD141,Batch1,2,0,6810
cell_219,CD141_P7_S13,CD141,Batch1,2,0,5861
cell_220,CD141_P7_S14,CD141,Batch1,2,0,6398
cell_221,CD141_P7_S15,CD141,Batch1,2,0,6960
cell_222,CD141_P7_S16,CD141,Batch1,2,0,6940
cell_223,CD141_P7_S17,CD141,Batch1,2,0,10524
cell_224,CD141_P7_S18,CD141,Batch1,2,0,7175
cell_225,CD141_P7_S19,CD141,Batch1,2,0,6180
cell_226,CD141_P7_S1,CD141,Batch1,2,0,5816
cell_227,CD141_P7_S20,CD141,Batch1,2,0,6287
cell_228,CD141_P7_S21,CD141,Batch1,2,0,7388
cell_229,CD141_P7_S22,CD141,Batch1,2,0,6788
cell_230,CD141_P7_S23,CD141,Batch1,2,0,6911
cell_231,CD141_P7_S24,CD141,Batch1,2,0,7184
cell_232,CD141_P7_S2,CD141,Batch1,2,0,6671
cell_233,CD141_P7_S3,CD141,Batch1,2,0,6686
cell_234,CD141_P7_S4,CD141,Batch1,2,0,6795
cell_235,CD141_P7_S5,CD141,Batch1,2,0,8400
cell_236,CD141_P7_S6,CD141,Batch1,2,0,6941
cell_237,CD141_P7_S7,CD141,Batch1,2,0,7019
cell_238,CD141_P7_S8,CD141,Batch1,2,0,7236
cell_239,CD141_P7_S9,CD141,Batch1,2,0,6421
cell_240,CD141_P8_S25,CD141,Batch1,2,0,5666
cell_241,CD141_P8_S26,CD141,Batch1,2,0,5442
cell_242,CD141_P8_S27,CD141,Batch1,2,0,5536
cell_243,CD141_P8_S28,CD141,Batch1,2,0,6851
cell_245,CD141_P8_S30,CD141,Batch1,2,0,6869
cell_246,CD141_P8_S31,CD141,Batch1,2,0,6671
cell_247,CD141_P8_S32,CD141,Batch1,2,0,5256
cell_248,CD141_P8_S33,CD141,Batch1,2,0,4697
cell_249,CD141_P8_S34,CD141,Batch1,2,0,5531
cell_250,CD141_P8_S35,CD141,Batch1,2,0,5817
cell_251,CD141_P8_S36,CD141,Batch1,2,0,5561
cell_252,CD141_P8_S37,CD141,Batch1,2,0,6680
cell_253,CD141_P8_S38,CD141,Batch1,2,0,5964
cell_254,CD141_P8_S39,CD141,Batch1,2,0,5425
cell_255,CD141_P8_S40,CD141,Batch1,2,0,5103
cell_257,CD141_P8_S42,CD141,Batch1,2,0,5560
cell_258,CD141_P8_S43,CD141,Batch1,2,0,5479
cell_259,CD141_P8_S44,CD141,Batch1,2,0,5527
cell_260,CD141_P8_S45,CD141,Batch1,2,0,6179
cell_261,CD141_P8_S46,CD141,Batch1,2,0,6370
cell_262,CD141_P8_S47,CD141,Batch1,2,0,5667
cell_263,CD141_P8_S48,CD141,Batch1,2,0,4968
cell_264,CD141_P9_S49,CD141,Batch1,2,0,6791
cell_265,CD141_P9_S50,CD141,Batch1,2,0,6518
cell_266,CD141_P9_S51,CD141,Batch1,2,0,6349
cell_267,CD141_P9_S52,CD141,Batch1,2,0,6123
cell_268,CD141_P9_S53,CD141,Batch1,2,0,6131
cell_269,CD141_P9_S54,CD141,Batch1,2,0,5744
cell_270,CD141_P9_S55,CD141,Batch1,2,0,5952
cell_271,CD141_P9_S56,CD141,Batch1,2,0,5151
cell_272,CD141_P9_S57,CD141,Batch1,2,0,6271
cell_273,CD141_P9_S58,CD141,Batch1,2,0,6075
cell_274,CD141_P9_S59,CD141,Batch1,2,0,6461
cell_275,CD141_P9_S60,CD141,Batch1,2,0,379
cell_276,CD141_P9_S61,CD141,Batch1,2,0,6438
cell_277,CD141_P9_S62,CD141,Batch1,2,0,6370
cell_278,CD141_P9_S63,CD141,Batch1,2,0,6786
cell_279,CD141_P9_S64,CD141,Batch1,2,0,6472
cell_280,CD141_P9_S65,CD141,Batch1,2,0,6466
cell_281,CD141_P9_S66,CD141,Batch1,2,0,2618
cell_282,CD141_P9_S67,CD141,Batch1,2,0,6075
cell_283,CD141_P9_S68,CD141,Batch1,2,0,5903
cell_284,CD141_P9_S69,CD141,Batch1,2,0,6263
cell_285,CD141_P9_S70,CD141,Batch1,2,0,6334
cell_286,CD141_P9_S71,CD141,Batch1,2,0,5622
cell_287,CD141_P9_S72,CD141,Batch1,2,0,5391
cell_288,pDC_P13_S49,pDC,Batch2,0,1,4800
cell_289,pDC_P13_S50,pDC,Batch2,0,1,4631
cell_290,pDC_P13_S51,pDC,Batch2,0,1,4760
cell_291,pDC_P13_S52,pDC,Batch2,0,1,4580
cell_292,pDC_P13_S53,pDC,Batch2,0,1,5090
cell_293,pDC_P13_S54,pDC,Batch2,0,1,3700
cell_294,pDC_P13_S55,pDC,Batch2,0,1,4408
cell_295,pDC_P13_S56,pDC,Batch2,0,1,4257
cell_296,pDC_P13_S57,pDC,Batch2,0,1,4032
cell_297,pDC_P13_S58,pDC,Batch2,0,1,4489
cell_298,pDC_P13_S59,pDC,Batch2,0,1,5026
cell_299,pDC_P13_S60,pDC,Batch2,0,1,4871
cell_300,pDC_P13_S61,pDC,Batch2,0,1,4233
cell_301,pDC_P13_S62,pDC,Batch2,0,1,4262
cell_302,pDC_P13_S63,pDC,Batch2,0,1,4944
cell_303,pDC_P13_S64,pDC,Batch2,0,1,4532
cell_304,pDC_P13_S65,pDC,Batch2,0,1,4670
cell_305,pDC_P13_S66,pDC,Batch2,0,1,3412
cell_306,pDC_P13_S67,pDC,Batch2,0,1,3929
cell_307,pDC_P13_S68,pDC,Batch2,0,1,4313
cell_308,pDC_P13_S69,pDC,Batch2,0,1,4731
cell_309,pDC_P13_S70,pDC,Batch2,0,1,4464
cell_310,pDC_P13_S71,pDC,Batch2,0,1,5617
cell_311,pDC_P13_S72,pDC,Batch2,0,1,5084
cell_312,pDC_P14_S73,pDC,Batch2,0,1,4564
cell_313,pDC_P14_S74,pDC,Batch2,0,1,4355
cell_314,pDC_P14_S75,pDC,Batch2,0,1,4892
cell_315,pDC_P14_S76,pDC,Batch2,0,1,4463
cell_316,pDC_P14_S77,pDC,Batch2,0,1,4669
cell_317,pDC_P14_S78,pDC,Batch2,0,1,4777
cell_318,pDC_P14_S79,pDC,Batch2,0,1,4305
cell_319,pDC_P14_S80,pDC,Batch2,0,1,4113
cell_320,pDC_P14_S81,pDC,Batch2,0,1,4606
cell_321,pDC_P14_S82,pDC,Batch2,0,1,4317
cell_322,pDC_P14_S83,pDC,Batch2,0,1,4755
cell_323,pDC_P14_S84,pDC,Batch2,0,1,3091
cell_324,pDC_P14_S85,pDC,Batch2,0,1,4707
cell_325,pDC_P14_S86,pDC,Batch2,0,1,4857
cell_326,pDC_P14_S87,pDC,Batch2,0,1,4564
cell_327,pDC_P14_S88,pDC,Batch2,0,1,4316
cell_328,pDC_P14_S89,pDC,Batch2,0,1,4132
cell_329,pDC_P14_S90,pDC,Batch2,0,1,4446
cell_330,pDC_P14_S91,pDC,Batch2,0,1,3987
cell_331,pDC_P14_S92,pDC,Batch2,0,1,4269
cell_332,pDC_P14_S93,pDC,Batch2,0,1,4376
cell_333,pDC_P14_S94,pDC,Batch2,0,1,4059
cell_334,pDC_P14_S95,pDC,Batch2,0,1,4171
cell_335,pDC_P14_S96,pDC,Batch2,0,1,4211
cell_336,pDC_P3_S10,pDC,Batch2,0,1,3829
cell_337,pDC_P3_S11,pDC,Batch2,0,1,3866
cell_338,pDC_P3_S12,pDC,Batch2,0,1,4342
cell_339,pDC_P3_S13,pDC,Batch2,0,1,3957
cell_340,pDC_P3_S14,pDC,Batch2,0,1,3777
cell_341,pDC_P3_S15,pDC,Batch2,0,1,4244
cell_342,pDC_P3_S16,pDC,Batch2,0,1,3856
cell_343,pDC_P3_S17,pDC,Batch2,0,1,3876
cell_344,pDC_P3_S18,pDC,Batch2,0,1,3460
cell_345,pDC_P3_S19,pDC,Batch2,0,1,4046
cell_346,pDC_P3_S1,pDC,Batch2,0,1,3541
cell_347,pDC_P3_S20,pDC,Batch2,0,1,3910
cell_348,pDC_P3_S21,pDC,Batch2,0,1,3779
cell_349,pDC_P3_S22,pDC,Batch2,0,1,4016
cell_350,pDC_P3_S23,pDC,Batch2,0,1,3938
cell_351,pDC_P3_S24,pDC,Batch2,0,1,4328
cell_352,pDC_P3_S2,pDC,Batch2,0,1,4071
cell_353,pDC_P3_S3,pDC,Batch2,0,1,4305
cell_354,pDC_P3_S4,pDC,Batch2,0,1,3887
cell_355,pDC_P3_S5,pDC,Batch2,0,1,3974
cell_356,pDC_P3_S6,pDC,Batch2,0,1,3650
cell_357,pDC_P3_S7,pDC,Batch2,0,1,3897
cell_358,pDC_P3_S8,pDC,Batch2,0,1,4159
cell_359,pDC_P3_S9,pDC,Batch2,0,1,3798
cell_360,pDC_P4_S25,pDC,Batch2,0,1,3945
cell_361,pDC_P4_S26,pDC,Batch2,0,1,4412
cell_362,pDC_P4_S27,pDC,Batch2,0,1,3075
cell_363,pDC_P4_S28,pDC,Batch2,0,1,3963
cell_364,pDC_P4_S29,pDC,Batch2,0,1,4217
cell_365,pDC_P4_S30,pDC,Batch2,0,1,4555
cell_366,pDC_P4_S31,pDC,Batch2,0,1,4349
cell_367,pDC_P4_S32,pDC,Batch2,0,1,4248
cell_368,pDC_P4_S33,pDC,Batch2,0,1,4804
cell_369,pDC_P4_S34,pDC,Batch2,0,1,4451
cell_370,pDC_P4_S35,pDC,Batch2,0,1,4315
cell_371,pDC_P4_S36,pDC,Batch2,0,1,4441
cell_372,pDC_P4_S37,pDC,Batch2,0,1,3149
cell_373,pDC_P4_S38,pDC,Batch2,0,1,4215
cell_374,pDC_P4_S39,pDC,Batch2,0,1,3079
cell_375,pDC_P4_S40,pDC,Batch2,0,1,4463
cell_376,pDC_P4_S41,pDC,Batch2,0,1,4341
cell_377,pDC_P4_S42,pDC,Batch2,0,1,4361
cell_378,pDC_P4_S43,pDC,Batch2,0,1,1926
cell_379,pDC_P4_S44,pDC,Batch2,0,1,4376
cell_380,pDC_P4_S45,pDC,Batch2,0,1,4338
cell_381,pDC_P4_S46,pDC,Batch2,0,1,3803
cell_382,pDC_P4_S47,pDC,Batch2,0,1,4357
cell_383,pDC_P4_S48,pDC,Batch2,0,1,4203
cell_384,DoubleNeg_P13_S49,DoubleNeg,Batch2,1,1,4647
cell_385,DoubleNeg_P13_S50,DoubleNeg,Batch2,1,1,4764
cell_386,DoubleNeg_P13_S51,DoubleNeg,Batch2,1,1,5212
cell_387,DoubleNeg_P13_S52,DoubleNeg,Batch2,1,1,4859
cell_388,DoubleNeg_P13_S53,DoubleNeg,Batch2,1,1,5115
cell_389,DoubleNeg_P13_S54,DoubleNeg,Batch2,1,1,3882
cell_390,DoubleNeg_P13_S55,DoubleNeg,Batch2,1,1,4230
cell_391,DoubleNeg_P13_S56,DoubleNeg,Batch2,1,1,4818
cell_392,DoubleNeg_P13_S57,DoubleNeg,Batch2,1,1,5060
cell_393,DoubleNeg_P13_S58,DoubleNeg,Batch2,1,1,5106
cell_394,DoubleNeg_P13_S59,DoubleNeg,Batch2,1,1,4919
cell_395,DoubleNeg_P13_S60,DoubleNeg,Batch2,1,1,5127
cell_396,DoubleNeg_P13_S61,DoubleNeg,Batch2,1,1,4613
cell_397,DoubleNeg_P13_S62,DoubleNeg,Batch2,1,1,3946
cell_398,DoubleNeg_P13_S63,DoubleNeg,Batch2,1,1,4431
cell_399,DoubleNeg_P13_S64,DoubleNeg,Batch2,1,1,3107
cell_400,DoubleNeg_P13_S65,DoubleNeg,Batch2,1,1,4876
cell_401,DoubleNeg_P13_S66,DoubleNeg,Batch2,1,1,3473
cell_402,DoubleNeg_P13_S67,DoubleNeg,Batch2,1,1,4362
cell_403,DoubleNeg_P13_S68,DoubleNeg,Batch2,1,1,4247
cell_404,DoubleNeg_P13_S69,DoubleNeg,Batch2,1,1,4769
cell_405,DoubleNeg_P13_S70,DoubleNeg,Batch2,1,1,4796
cell_406,DoubleNeg_P13_S71,DoubleNeg,Batch2,1,1,4914
cell_407,DoubleNeg_P13_S72,DoubleNeg,Batch2,1,1,4983
cell_408,DoubleNeg_P14_S73,DoubleNeg,Batch2,1,1,3653
cell_409,DoubleNeg_P14_S74,DoubleNeg,Batch2,1,1,4136
cell_410,DoubleNeg_P14_S75,DoubleNeg,Batch2,1,1,3824
cell_411,DoubleNeg_P14_S76,DoubleNeg,Batch2,1,1,3891
cell_412,DoubleNeg_P14_S77,DoubleNeg,Batch2,1,1,4400
cell_413,DoubleNeg_P14_S78,DoubleNeg,Batch2,1,1,4181
cell_414,DoubleNeg_P14_S79,DoubleNeg,Batch2,1,1,4465
cell_415,DoubleNeg_P14_S80,DoubleNeg,Batch2,1,1,3726
cell_416,DoubleNeg_P14_S81,DoubleNeg,Batch2,1,1,4053
cell_417,DoubleNeg_P14_S82,DoubleNeg,Batch2,1,1,3328
cell_418,DoubleNeg_P14_S83,DoubleNeg,Batch2,1,1,4389
cell_419,DoubleNeg_P14_S84,DoubleNeg,Batch2,1,1,4230
cell_420,DoubleNeg_P14_S85,DoubleNeg,Batch2,1,1,4249
